id,vader_compound_new,vader_pos_new,vader_neg_new,vader_neu_new,finbert_bull_new,finbert_bear_new,finbert_neu_new,finbert_dir_new,hybrid_sentiment_new
5zz7qn,0.4515,0.102,0.077,0.821,0.033559043,0.402268,0.5641729,-0.36870894,0.04139553081989289
6001d5,-0.4466,0.025,0.033,0.942,0.024497008,0.06236015,0.91314286,-0.037863143,-0.2422315713942051
600tg8,0.9918,0.083,0.031,0.886,0.035865013,0.019744094,0.9443909,0.016120918,0.5039604590475559
60dzkj,0.0,0.0,0.0,1.0,0.051454376,0.3954981,0.55304754,-0.34404373,-0.17202186584472656
60epvn,-0.0516,0.195,0.203,0.602,0.08262086,0.011616061,0.9057631,0.0710048,0.009702400249242783
60kb9v,-0.871,0.103,0.133,0.765,0.047865078,0.13567145,0.8164635,-0.087806374,-0.479403186917305
60skdh,0.3182,0.099,0.0,0.901,0.08462274,0.012478528,0.9028987,0.07214421,0.19517210516929626
6140bx,0.7866,0.298,0.0,0.702,0.567397,0.013558457,0.41904452,0.55383855,0.670219275522232
61cj7s,-0.5968,0.074,0.077,0.849,0.04927671,0.054568224,0.89615506,-0.005291514,-0.3010457570493221
61k484,-0.1147,0.156,0.193,0.651,0.03314671,0.037666466,0.9291869,-0.004519757,-0.0596098784416914
61lpoo,-0.7608,0.042,0.075,0.883,0.030045219,0.04916627,0.9207885,-0.01912105,-0.3899605254173279
61wbcq,-0.9184,0.053,0.174,0.773,0.0137071125,0.79279065,0.19350222,-0.77908355,-0.8487417749881745
61y5ix,0.966,0.058,0.034,0.908,0.055697523,0.0140105905,0.93029183,0.041686933,0.5038434667438269
620wvu,0.2732,0.072,0.036,0.892,0.017969307,0.9088984,0.073132224,-0.8909291,-0.308864551448822
62wgcz,0.6316,0.092,0.021,0.887,0.3237483,0.041282985,0.6349687,0.2824653,0.45703265445232394
632r1c,0.4019,0.031,0.0,0.969,0.027116636,0.034775518,0.9381079,-0.007658882,0.19712055896669625
636asp,0.0,0.0,0.0,1.0,0.01173866,0.9197561,0.06850519,-0.90801746,-0.45400872826576233
646fi5,-0.552,0.175,0.481,0.344,0.02530776,0.043611854,0.9310804,-0.018304095,-0.28515204733610156
64jhen,0.8778,0.248,0.043,0.71,0.031328503,0.02592309,0.94274837,0.005405413,0.4416027064934373
64m38n,0.0,0.0,0.0,1.0,0.08517512,0.018248694,0.89657617,0.06692643,0.033463213592767715
65pn7r,0.6079,0.087,0.085,0.828,0.024247054,0.036318317,0.9394346,-0.012071263,0.2979143684774637
